,Benign,DDoS,DoS,Mirai,Recon,Spoofing,WebAttack,global_mean
IAT,1.1842232281654492,8.813706296716637,5.686778214950201,2.277680720242784,1.166739153408661,1.646618788754112,0.7810607248274819,3.079543875295047
Variance,0.04141398491372195,1.4833114334989714,1.2612328556674377,0.7415658927735146,0.21411130182436797,0.06551240388786278,0.18231576725740023,0.569923377117611
Protocol Type,0.2704101119691573,0.46692008110764316,0.13918841584013714,2.9091826488260786,0.0507381178842065,0.06190422059740196,0.08843823631547437,0.5695402617914427
Header_Length,0.352953223403446,0.3282096182794173,0.6800521614937156,0.08503749100205706,0.5427470292150897,0.42540330271235,0.6139111488905292,0.4326162821423721
urg_count,0.36496547804929125,0.4935211843364098,0.7912232498371409,0.2008337705690663,0.16445673011331585,0.2253012636186165,0.093525664257179,0.33340390582585994
flow_duration,0.32106220084583725,0.5917551258146672,0.4726077486947369,0.18179392344886894,0.14706101235112576,0.16336700479219424,0.3647951253278778,0.32034887732504397
Min,0.13890622575487543,0.4390537067547575,0.1137974012662789,1.1669639999045955,0.0777225711001375,0.17886459878514435,0.08948091389578924,0.3149699167802255
rst_count,0.28529119833701927,0.14979129553972204,0.3725852956131902,0.07000006159985044,0.6445235984304906,0.19682430499594922,0.3003156569912515,0.288475915929639
Duration,0.10301028271557841,0.5127024041771285,0.5903934487695932,0.03590096901883641,0.2932230798744049,0.10585545874216311,0.04450471676485726,0.24079862286608028
Rate,0.28022856613755703,0.3458360247248769,0.320293051166748,0.17914452802199754,0.11714070056384798,0.159397355217036,0.20421052961952216,0.22946439363594082
Tot size,0.09683819882958689,0.1689778260944774,0.10700296003187114,0.683567643341195,0.1080031572574826,0.19205780805256056,0.16357582438438611,0.21714620257022285
Tot sum,0.11332298958034537,0.21659485276284354,0.3204462899630097,0.4138642848298069,0.07696536124348512,0.07388011112651462,0.07503701808076628,0.18430155822668162
syn_count,0.13513022785388862,0.1742145705640165,0.22107791883287153,0.048006044686539615,0.2601987940330471,0.1251625136436511,0.1650202699877056,0.1612586199431029
fin_count,0.21405106631906834,0.14083256463595623,0.29236352828249246,0.0012241046102287175,0.0919125732432361,0.046101198518439926,0.28678120759278497,0.1533237490288867
Max,0.2678465665538428,0.12041766657568233,0.12056072566459204,0.23104093640927853,0.05119018477599597,0.11680946405750749,0.06477313155552678,0.13894838222748943
Covariance,0.15111066817471158,0.10906332417903111,0.15539899733134416,0.061399677244932636,0.08778268835156827,0.09755509021289528,0.11306892573526715,0.11076848160425004
AVG,0.07291752778612895,0.05133107443033231,0.17110583725648137,0.24953841239467905,0.06382338258180174,0.09980031550358986,0.05775661442637044,0.10946759491134053
Magnitue,0.11069837212901681,0.08090724913370806,0.18126072760416084,0.19258148415322496,0.08095714691121585,0.06094703319002936,0.05747081217565814,0.10926040361385914
Std,0.08572959968567524,0.15877548603760022,0.18306995004150664,0.025932515404410977,0.05657708707144116,0.09439768431261474,0.03454204411301067,0.0912891952380371
ack_count,0.07908016558064947,0.1481655929223675,0.1764575292359795,0.0012606682239847734,0.067723091949347,0.07491516251429743,0.05118696040502532,0.08554131011880729
UDP,0.0030474153148045656,0.29089079501677695,0.002480841171128676,0.14395582174102534,0.0023868597901823075,0.017703622034902774,0.0322491467969668,0.07038778598082678
HTTP,0.09404976422515393,0.038559409814687896,0.19292304801432528,8.398050254694249e-06,0.08047421162799594,0.01029159482872237,0.04277165685463738,0.06558258334511106
syn_flag_number,0.0468259346879762,0.007564190123928016,0.029271446895803136,0.0,0.11344082042285362,0.11373123756035229,0.10480031206960506,0.05937627739435976
HTTPS,0.05285709829881346,0.03018168233870626,0.048052679084451974,0.03696411508545304,0.043207228119164935,0.10514110931374553,0.04443352686062914,0.05154820558585205
TCP,0.004876065695151555,0.19725241900093685,0.0043188542557519366,0.03324741864341993,0.037473834901509,0.020354386511549437,0.03799069879923008,0.047930525401078394
ack_flag_number,0.02717153078219096,0.019019407900426805,0.1711201061003804,0.0032023487290809157,0.03814314667328301,0.025079280122845826,0.018637506877677432,0.043196189597983624
psh_flag_number,0.02518137362922027,0.16806250827909436,0.04335707116871518,0.0,0.023207705263768065,0.004296769212076892,0.00837199124555125,0.038925345542632286
ICMP,0.0,0.15299614275772563,0.0,0.0,0.00018883428692732665,0.03931078241911747,0.0,0.027499394209110063
rst_flag_number,0.015394981378429994,0.058850688180742336,0.004426963578669299,0.0,0.04088182440618436,0.018942638802655454,0.0,0.01978529947809735
fin_flag_number,0.0,0.09561803436758413,0.016150574897322467,0.0,0.0,0.0,0.0,0.015966944180700944
SSH,0.00035287078963898346,0.0,0.0,0.0,0.0003350618100568904,0.0002595434527543167,0.04407007416346971,0.006431078602274272
IPv,0.00042250815726561794,0.00041045919053471166,0.0,0.0,0.00027972502598014917,0.0,0.0011698827754143975,0.0003260821641706966
DNS,0.0004252417197643986,0.0,0.0,7.403212381297913e-05,0.00036999958069020516,3.188972225340002e-05,0.00029664276653081317,0.0001711151304359709
ARP,0.0,0.0,0.0,0.0,0.00010117787571440539,0.00015518695544652873,0.00023272731929353628,6.987030720778148e-05
Drate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cwr_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ece_flag_number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
